2024-08-30 08:10:09,475 INFO    StreamThr :53218 [internal.py:wandb_internal():85] W&B internal server running at pid: 53218, started at: 2024-08-30 08:10:09.474468
2024-08-30 08:10:09,475 DEBUG   HandlerThread:53218 [handler.py:handle_request():158] handle_request: status
2024-08-30 08:10:09,477 INFO    WriterThread:53218 [datastore.py:open_for_write():87] open: /Users/mattsalomon/github/cairo-llm/1-train/wandb/run-20240830_081009-ktyyggxt/run-ktyyggxt.wandb
2024-08-30 08:10:09,477 DEBUG   SenderThread:53218 [sender.py:send():391] send: header
2024-08-30 08:10:09,508 DEBUG   SenderThread:53218 [sender.py:send():391] send: run
2024-08-30 08:10:09,909 INFO    SenderThread:53218 [dir_watcher.py:__init__():211] watching files in: /Users/mattsalomon/github/cairo-llm/1-train/wandb/run-20240830_081009-ktyyggxt/files
2024-08-30 08:10:09,909 INFO    SenderThread:53218 [sender.py:_start_run_threads():1200] run started: ktyyggxt with start time 1725030609.474986
2024-08-30 08:10:09,918 DEBUG   HandlerThread:53218 [handler.py:handle_request():158] handle_request: run_start
2024-08-30 08:10:09,936 DEBUG   HandlerThread:53218 [system_info.py:__init__():26] System info init
2024-08-30 08:10:09,936 DEBUG   HandlerThread:53218 [system_info.py:__init__():41] System info init done
2024-08-30 08:10:09,936 INFO    HandlerThread:53218 [system_monitor.py:start():194] Starting system monitor
2024-08-30 08:10:09,936 INFO    SystemMonitor:53218 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-30 08:10:09,936 INFO    HandlerThread:53218 [system_monitor.py:probe():214] Collecting system info
2024-08-30 08:10:09,941 INFO    SystemMonitor:53218 [interfaces.py:start():188] Started cpu monitoring
2024-08-30 08:10:09,943 INFO    SystemMonitor:53218 [interfaces.py:start():188] Started disk monitoring
2024-08-30 08:10:09,944 INFO    SystemMonitor:53218 [interfaces.py:start():188] Started gpuapple monitoring
2024-08-30 08:10:09,948 INFO    SystemMonitor:53218 [interfaces.py:start():188] Started memory monitoring
2024-08-30 08:10:09,949 INFO    SystemMonitor:53218 [interfaces.py:start():188] Started network monitoring
2024-08-30 08:10:10,414 DEBUG   HandlerThread:53218 [system_info.py:probe():152] Probing system
2024-08-30 08:10:10,419 DEBUG   HandlerThread:53218 [system_info.py:_probe_git():137] Probing git
2024-08-30 08:10:10,475 DEBUG   HandlerThread:53218 [system_info.py:_probe_git():145] Probing git done
2024-08-30 08:10:10,475 DEBUG   HandlerThread:53218 [system_info.py:probe():200] Probing system done
