2024-08-30 08:01:56,017 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Configure stats pid to 52703
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Loading settings from /Users/mattsalomon/.config/wandb/settings
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Loading settings from /Users/mattsalomon/github/cairo-llm/1-train/wandb/settings
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': '1-train/train.py', 'program_abspath': '/Users/mattsalomon/github/cairo-llm/1-train/train.py', 'program': '/Users/mattsalomon/github/cairo-llm/1-train/train.py'}
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_init.py:_log_setup():524] Logging user logs to /Users/mattsalomon/github/cairo-llm/1-train/wandb/run-20240830_080156-l6755oo0/logs/debug.log
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/mattsalomon/github/cairo-llm/1-train/wandb/run-20240830_080156-l6755oo0/logs/debug-internal.log
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_init.py:init():607] calling init triggers
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'epochs': 3}
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_init.py:init():657] starting backend
2024-08-30 08:01:56,018 INFO    MainThread:52703 [wandb_init.py:init():661] setting up manager
2024-08-30 08:01:56,019 INFO    MainThread:52703 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-08-30 08:01:56,020 INFO    MainThread:52703 [wandb_init.py:init():669] backend started and connected
2024-08-30 08:01:56,022 INFO    MainThread:52703 [wandb_init.py:init():767] updated telemetry
2024-08-30 08:01:56,046 INFO    MainThread:52703 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-08-30 08:01:56,392 INFO    MainThread:52703 [wandb_init.py:init():851] starting run threads in backend
2024-08-30 08:02:00,848 INFO    MainThread:52703 [wandb_run.py:_console_start():2463] atexit reg
2024-08-30 08:02:00,848 INFO    MainThread:52703 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-08-30 08:02:00,848 INFO    MainThread:52703 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-08-30 08:02:00,849 INFO    MainThread:52703 [wandb_run.py:_redirect():2399] Redirects installed.
2024-08-30 08:02:00,852 INFO    MainThread:52703 [wandb_init.py:init():894] run started, returning control to user process
